---lookupversion:11
---minorversion:1

---context:way

highway;0029035962 residential
highway;0010319731 service
highway;0007688809 track
highway;0007656124 unclassified
highway;0004141444 footway
highway;0003493551 tertiary
highway;0002852601 path
highway;0002185240 secondary
highway;0001447719 primary
highway;0000699577 cycleway
highway;0000608469 trunk
highway;0000568118 living_street
highway;0000515044 motorway
highway;0000451760 motorway_link
highway;0000442502 steps
highway;0000360177 road yes
highway;0000318426 pedestrian
highway;0000210535 trunk_link
highway;0000192461 primary_link
highway;0000120758 secondary_link
highway;0000079637 tertiary_link
highway;0000070238 construction
highway;0000058257 bridleway
highway;0000039003 platform
highway;0000037192 proposed planned virtual
highway;0000010307 raceway
highway;0000003152 rest_area
highway;0000002942 abandoned disused razed demolished dismantled no
highway;0000002631 services
highway;0000002133 corridor
highway;0000001440 bus_stop
highway;0000000001 busway
highway;0000000001 elevator
highway;0000000001 via_ferrata

surface;0002497676 asphalt
surface;0001568957 paved bricks brick chipseal
surface;0001562253 unpaved unpaved_minor
surface;0000727427 gravel
surface;0000560191 ground soil
surface;0000350378 dirt dirt/sand
surface;0000237226 grass artificial_turf
surface;0000212587 concrete concrete:plates concrete:lanes cement
surface;0000188743 paving_stones paving_stones:30 paving_stones:20
surface;0000113800 cobblestone cobblestone:flattened unhewn_cobblestone
surface;0000093164 compacted
surface;0000091171 sand dirt/sand
surface;0000023293 wood
surface;0000019915 pebblestone
surface;0000012866 fine_gravel
surface;0000010681 earth
surface;0000007331 sett
surface;0000005778 mud
surface;0000004549 grass_paver
surface;0000004398 clay
surface;0000003760 metal
surface;0000000001 rock rocks rocky
surface;0000000001 stone

lit;0000809223 yes
lit;0000000001 no
lit;0000800001 sunset-sunrise dusk-dawn
lit;0000800001 24/7
lit;0000800001 automatic

estimated_forest_class;0000000001 1
estimated_forest_class;0000000001 2
estimated_forest_class;0000000001 3
estimated_forest_class;0000000001 4
estimated_forest_class;0000000001 5
estimated_forest_class;0000000001 6

estimated_noise_class;0000000001 1
estimated_noise_class;0000000001 2
estimated_noise_class;0000000001 3
estimated_noise_class;0000000001 4
estimated_noise_class;0000000001 5
estimated_noise_class;0000000001 6

estimated_river_class;0000000001 1
estimated_river_class;0000000001 2
estimated_river_class;0000000001 3
estimated_river_class;0000000001 4
estimated_river_class;0000000001 5
estimated_river_class;0000000001 6

estimated_town_class;0000000001 1
estimated_town_class;0000000001 2
estimated_town_class;0000000001 3
estimated_town_class;0000000001 4
estimated_town_class;0000000001 5
estimated_town_class;0000000001 6

maxspeed;0001058313 50 55 56 30_mph 30mph
maxspeed;0000860780 30 35 20_mph 20mph
maxspeed;0000025232 10 15 5 6 8 5_mph 6_mph
maxspeed;0000083989 20 25 10_mph 10mph 15_mph 15mph
maxspeed;0000195097 40 45 25_mph 25mph
maxspeed;0000204646 60 65 35_mph 35mph 40_mph 40mph
maxspeed;0000130108 70 75 45_mph 45mph
maxspeed;0000225071 80 85 50_mph 50mph
maxspeed;0000106719 90 95 55_mph 55mph
maxspeed;0000134522 100 60_mph 60mph 65_mph 65mph
maxspeed;0000025242 110 70_mph 70mph
maxspeed;0000038763 120 75_mph 75mph
maxspeed;0000026953 130 80_mph 79_mph
maxspeed;0000138654 urban RO:urban RU:urban FR:urban IT:urban AT:urban DE:urban UA:urban
maxspeed;0000138654 rural RO:rural RU:rural FR:rural IT:rural AT:rural DE:rural UA:rural

service;0001433919 parking_aisle
service;0001305879 driveway driveway2
service;0000382788 alley
service;0000018777 drive-through drive_through
service;0000008290 emergency_access
service;0000003138 bus
service;0000001250 parking
service;0000001159 logging
service;0000000001 yard
service;0000000001 spur
service;0000000001 siding
service;0000000001 crossover

tracktype;0000887965 grade2
tracktype;0000868414 grade3
tracktype;0000595882 grade1
tracktype;0000568372 grade4 grade3-5
tracktype;0000405959 grade5

access;0002688349 private restricted residents employees
access;0000319927 yes public
access;0000144799 no
access;0000140215 permissive
access;0000108802 destination visitors
access;0000099899 agricultural forestry agricultural;forestry
access;0000039934 designated official
access;0000011813 customers
access;0000004007 delivery
access;0000000100 psv
access;0000000100 hov
access;0000000001 permit
access;0000000001 military

estimated_traffic_class;0000000001 1
estimated_traffic_class;0000000001 2
estimated_traffic_class;0000000001 3
estimated_traffic_class;0000000001 4
estimated_traffic_class;0000000001 5
estimated_traffic_class;0000000001 6
estimated_traffic_class;0000000001 7


lanes;0002838405 2
lanes;0000718138 1
lanes;0000259502 3
lanes;0000141651 4
lanes;0000017934 5
lanes;0000008241 6
lanes;0000003643 1.5
lanes;0000001087 7
lanes;0000000001 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25

foot;0001659694 yes allowed
